,tweets,likes,time
32,"Watch Kenneth Ho, $GS’ head of Asia Credit Strategy, explain why “too big to fail” may no longer apply in China on @BloombergTV.
https://t.co/tVqhGB3Iqu https://t.co/waF4QfUwl9",13,2021-06-23 07:30:01
33,"Watch Naohiko Baba, $GS’ chief Japan economist, discuss the impact of the Olympics on Japan’s economy on @CNBC.
https://t.co/cTz8uvg7VQ",27,2021-06-23 05:43:18
34,"From Goldman Sachs to the White House–and back again! Dina Powell McCormick, $GS Global Head of Sustainability and Inclusive Growth, spoke with @SheSaid2podcast about her career and the development of @10KSmallBiz, @10KWomen and One Million Black Women. https://t.co/CaK7JeUFFD",25,2021-06-22 20:01:45
35,"“If we want to try to move the needle–the number one thing is, how do we shift the culture?” - Founder and CEO of @GreenMondayHK David Yeung in a recent episode of #TalksAtGS: https://t.co/KuJB2JG82m https://t.co/EFJrhO2akS",17,2021-06-22 19:00:20
36,"RT @HOUBizJournal: Small businesses across the nation are struggling not only with hiring employees but also increased operating costs, acc…",0,2021-06-22 17:11:54
37,"RT @GS10KSmallBiz: As a #10KSmallBiz grad and member of the LGBTQIA+ community, Letha has always been true to her identity while running @b…",0,2021-06-22 17:09:07
38,Is Europe’s economic recovery here to stay? $GS' Jari Stehn and Richard Privorotsky discuss the economic outlook and market implications on Exchanges at Goldman Sachs: https://t.co/HVSM0gUWTi https://t.co/pA00pax7wo,18,2021-06-22 15:34:21
39,We’re a proud partner of #PrideSummit alongside @lesbiantech—to show up for the LGBTQ+ community and change the face of tech. https://t.co/fcmUi8Igew https://t.co/HD7IMNFh3K,8,2021-06-22 14:09:25
40,"Watch Jeff Currie, $GS Head of Commodities Research, discuss his outlook for oil and other commodities on @CNBC. https://t.co/jIdSsv8oOj",18,2021-06-21 16:39:48
41,"President and CEO of @CruiseNorwegian, Frank Del Rio, discusses the progress he’s seen in the cruise-line industry reopening in a #TalksAtGS: https://t.co/wMk8tSWzwV https://t.co/8ezIETec7b",18,2021-06-21 15:00:21
42,"Watch $GS Chief Asia Pacific Economist Andrew Tilton discuss the economic recovery in Asia, interest rate hikes and the outlook for labor markets on @BloombergTV.
https://t.co/xuCyA7USwI https://t.co/q8O2bs4pel",21,2021-06-21 08:09:14
43,".@USATODAY Washington bureau chief and author, @SusanPage, on why she felt compelled to write her second biography on @SpeakerPelosi: https://t.co/kj2Lk39SJU https://t.co/RLkbeDAtBD",5,2021-06-20 17:00:24
44,"One day after Juneteenth became a federal holiday, we couldn’t be more proud and honored to have Pulitzer Prize-winning author Annette Gordon-Reed join Nicole Pullen Ross to discuss her new book, “On Juneteenth.” #TalksAtGS https://t.co/H3cgYfDcKi",36,2021-06-18 18:04:25
45,#ICYMI: $GS' Michael Bruun explains why the shift to electric vehicles is charging the market for European battery production: https://t.co/LFDDFGITuY https://t.co/9bvOLmO2qQ,17,2021-06-18 13:00:22
46,"“If you're asked to do some good and you choose not to… how are you really part of the solution?” - Actor, director, and producer @danieldaekim in a #TalksAtGS: https://t.co/4Wkb8fyP2f https://t.co/NQufdZCQES",15,2021-06-17 22:00:25
47,“They absolutely needed to form a union.” - Pulitzer prize-winning historian Alan Taylor on a #TalksAtGS: https://t.co/2eCOITXr0Q https://t.co/skOczFeVhF,7,2021-06-17 20:00:16
48,What’s driving the focus on electric vehicle battery manufacturing across EMEA? $GS' Michael Bruun explains in The Daily Check-In: https://t.co/hHeLm6nJ3O https://t.co/uQ7Yc54959,12,2021-06-17 19:00:24
49,$GS' Asahi Pompey and Candice Tse explain how technology has helped women entrepreneurs during the pandemic in this episode of Exchanges at Goldman Sachs: https://t.co/m2GKweOfm5 https://t.co/zd43O4PTY8,7,2021-06-17 17:00:14
50,“Volumes of activism activity are at an all-time high.” – $GS' Avinash Mehrotra on what’s driving the rise in shareholder activism campaigns on this episode of The Daily Check-In: https://t.co/GujAnKiaeZ https://t.co/Fi0XHObQEs,14,2021-06-17 12:21:24
51,RT @ErikRoth8: Why do most corporate incubators and accelerators fail? Hear what Tanya Baker Goldman Sachs doing to make GS Accelerate a br…,0,2021-06-16 21:13:06
52,"Watch Jan Hatzius, $GS chief economist, discuss the Fed and outlook for the economy on @BloombergTV. https://t.co/m4Wqyh4hUR",8,2021-06-16 17:47:13
53,"Watch Tim Moe, $GS chief Asia Pacific equity strategist, discuss how inflation and geopolitics could impact the outlook for stocks on @CNBC:
https://t.co/mJDlrJMwIh",16,2021-06-16 14:09:35
54,#ICYMI: “We are seeing a lot more creativity when it comes to divestitures and separation activity.”- $GS' David Dubner on how clients are thinking about reimagining their businesses on The Daily Check-In: https://t.co/5LFlXKBjRb https://t.co/Liu1vfHUmb,9,2021-06-15 20:25:21
55,"Watch Jeff Currie, $GS head of commodities research, discuss his outlook for oil on @CNBC. https://t.co/WMxoHobQxl",17,2021-06-15 19:50:04
56,"RT @GSCareers: An internationally ranked Scrabble player, Special Olympics athlete and award-winning tattoo artist–get to know our summer i…",0,2021-06-15 19:10:13
57,How did women entrepreneurs evolve their businesses during the pandemic? $GS' Asahi Pompey and Candice Tse discuss the results from a new report on this topic in Exchanges at Goldman Sachs: https://t.co/8shbk5oAPk https://t.co/nHyGEvs7Zv,10,2021-06-15 17:00:12
58,"We’re kicking off our 6th annual #GSDisruptiveTechSymposium hosted by colleagues across Investment Banking, Global Markets and Private Wealth Management. It’s a pleasure to welcome over 70 private European companies who will be presenting over the next two days. https://t.co/l4f2UN0NUj",16,2021-06-15 08:00:02
59,How are companies pruning their portfolios to better optimize their strategic priorities? $GS' David Dubner explains in this episode of The Daily Check-In: https://t.co/JlBNO5CfTC https://t.co/veQHo4gX46,9,2021-06-14 23:30:18
60,The Sky Lobby at 200 West was buzzing today—what a great way to welcome our summer interns! https://t.co/gzPXaTu3iU,171,2021-06-14 22:11:39
61,"RT @GSCareers: Say hi to our summer interns! From schools and universities around the world, our interns represent the talent that drives t…",0,2021-06-14 21:01:34
62,"“[Nancy Pelosi] was really born into political royalty in Baltimore. The D’Alesandros of Baltimore were as prominent as the Kennedys were in Boston.” - @USATODAY Washington bureau chief and biographer, @SusanPage, in a #TalksAtGS: https://t.co/Z0vhe8mn0P https://t.co/OWNPEv0Op2",15,2021-06-12 15:00:31
63,How might central bank digital currencies impact the financial system? $GS' chief US economist David Mericle discusses digital disruption in this episode of The Daily Check-In: https://t.co/w3SYssT6cI https://t.co/M1AniLgKtU,23,2021-06-11 23:00:25
64,RT @GS10KSmallBiz: Congratulations and welcome to the newest members of the #10KSmallBiz community—thank you for being fundamental to our e…,0,2021-06-11 18:40:39
65,"Who is favorite to win the Euros, according to statistical modelling by Goldman Sachs Research? For the first time—Belgium! https://t.co/heNJoMibf5 #Euro2020",8,2021-06-11 18:00:00
66,"We caught up with the regional heads of our LGBTQ+ Network in the Americas and EMEA for #PrideMonth. Learn more about their backgrounds and career paths, goals for the Network, and how it has helped our people at the firm as well as the broader community. https://t.co/OEayAZgkiI",6,2021-06-11 17:00:02
67,How are central banks thinking about digital currencies? $GS' chief US economist David Mericle explains in this episode of The Daily Check-In: https://t.co/9C5Ap69F6I https://t.co/YRAdcBPBMN,15,2021-06-11 16:00:30
68,"Earlier this year, we co-led the first public digital issuance on Ethereum public blockchain for the European Investment Bank. Learn how the transaction worked and why it represents a potential sea change in capital markets. https://t.co/McukzPUrkg",15,2021-06-11 15:00:04
69,"President and CEO of @CruiseNorwegian, Frank Del Rio, discusses how the cruise industry endured the most severe impact from the pandemic in a #TalksAtGS: https://t.co/j3Sl7kUXYQ https://t.co/7jtojZgQ4l",13,2021-06-11 13:00:23
70,RT @GS10KSmallBiz: Small business owners have seen an increase in operating costs and 82% say they are concerned about inflation. Learn mor…,0,2021-06-10 21:01:38
