,tweets,likes,time
36,"Grateful to partner with leading orgs on a project to better understand how social media can help improve people's health around the world ❤️
￼
@Merck @GlobalHealthAll @CDCFound @mit_ide @sabinvaccine @vaccine_trust @WorldBank @WHO 

https://t.co/1LYVuZ3pRg",89,2021-06-10 18:29:52
37,@Sophiemoran02 Hi Sophie. We hear your frustration and understand your concern. You can find assistance with troubleshooting your account at https://t.co/tNHbvHi9y7. -DF,1,2021-06-09 16:19:06
38,"@KimBall424 Hi Kimberly. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -DF",0,2021-06-09 16:14:48
39,"@annataylormoore Hi Anna. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -DF",1,2021-06-09 14:56:42
40,"@Jasmine_Charnay Hi Jasmine. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -DF",1,2021-06-09 14:55:53
41,What does Pride Month mean to you? #pride,73,2021-06-05 15:17:54
42,"It’s about looking back at the history and activism that brought us to this moment, while celebrating what it means to be the loudest, truest, most authentic version of yourself. #pride",75,2021-06-05 15:17:47
43,Pride Month is a time to celebrate the forward momentum generated by the LGBTQ+ community and its allies. #pride https://t.co/GbihD2M0Sy,298,2021-06-05 15:17:32
44,"@renfordejenzzz It's always an honor to support the inclusivity of LGBTQ+ individuals in the global community, Ren. ✨ -VN",1,2021-06-03 20:42:16
45,RT @facebookapp: Facebook Group members are celebrating Pride in ways that are most authentic to them — coming together over things like mu…,0,2021-06-01 22:02:16
46,"to using 🌈 emojis… 

Thanks to everyone offering support and making this month so special 💜 https://t.co/JsJEJf08l4",92,2021-06-01 21:08:22
47,to showing up in Groups… https://t.co/KxqcErhgor,66,2021-06-01 21:08:21
48,"Happy #Pride 

People have been coming together in all kinds of ways to celebrate the LGBTQ+ community. 

From raising funds… https://t.co/tbQCOXXxpF",125,2021-06-01 21:08:20
49,"@ChardoFenton Hi Richard. If you think your account has been disabled, please visit our Help Center for more information: https://t.co/phDMxg0uAE. -VN",2,2021-05-28 21:00:49
50,"@Noorgotkicks Hi Noor. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -VN",0,2021-05-28 20:58:07
51,"@thegr8jeremiah Hi there. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",0,2021-05-27 21:13:59
52,"@BelarusinMoscow Hi there. If you need help changing your Page name, find help here: https://t.co/VCCW4f2m7u -RA",1,2021-05-27 21:12:32
53,@Sugainfiresme23 Hi there. If you are having trouble accessing your account please visit our Help Center: https://t.co/ZeIulKzILb -RA,0,2021-05-27 21:10:49
54,"@Marcy717 You can first try updating to the latest version of the app or using a different browser. If you're still experiencing this with your photo albums, learn how to report it here: https://t.co/rAFjFP5M8Y -RA",0,2021-05-27 21:09:45
55,"@Anujprj1 Hi @Anujprj1. If your Facebook account has been disabled, you'll see a message saying your profile is disabled when you try to log in: https://t.co/phDMxg0uAE. You can request a review of our decision by filling in this form: https://t.co/AvrMnu9un2. -IK",1,2021-05-26 13:22:40
56,@anchaceisland Hi Ace. You can first try updating to the latest version of the app or using a different browser. Learn how to report what you're experiencing here: https://t.co/rAFjFP5M8Y. -VN,3,2021-05-24 17:50:55
57,"@StalinsTomb_ Hi JB. If you think your account has been disabled, please visit our Help Center for more information: https://t.co/phDMxg0uAE. -VN",1,2021-05-24 17:49:43
58,"@manvstarmac19 Hi Sumit. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -VN",2,2021-05-24 17:47:11
59,@Khadijahbrookl1 Thanks for the love! ❤️ -NDN,1,2021-05-24 12:56:08
60,"He’s a father, immigrant, veteran, and ER nurse on the front lines of a global pandemic. This Mental Health Awareness Month, see how check-ins from a fellow vet helped Sebastian Paz keep it all together through a year of service. https://t.co/VQJjkga0z0",171,2021-05-21 20:00:00
61,"Chelsie H. has always loved to dance. When a car accident paralyzed her from the waist down at age 17, she didn't pursuing her passion. She started the @Rollettes_LA, a wheelchair dance company w/ the goal of connecting and empowering women with disabilities  through dance. https://t.co/XYRrQwoaTc",133,2021-05-20 20:00:01
